transaction_id,from_account,to_account,amount_inr,mode,timestamp,bank_branch
TXN0001,AXIS-XXXXXXXX3456,ICICI-XXXXXXXX5678,8000,NEFT Transfer,2026-06-10 10:00:00,Connaught Place
TXN0002,AXIS-XXXXXXXX3456,HDFC-XXXXXXXX1234,30000,NEFT Transfer,2026-06-11 14:00:00,Karol Bagh
TXN0003,HDFC-XXXXXXXX7890,ICICI-XXXXXXXX5678,45000,Cash Deposit,2026-06-12 10:00:00,Andheri East
TXN0004,AXIS-XXXXXXXX3456,ICICI-XXXXXXXX5678,30000,UPI Transfer,2026-06-12 15:00:00,Connaught Place
TXN0005,ICICI-XXXXXXXX5678,HDFC-XXXXXXXX7890,15000,NEFT Transfer,2026-06-13 18:00:00,Karol Bagh
TXN0006,SBI-XXXXXXXX9012,HDFC-XXXXXXXX7890,22000,UPI Transfer,2026-06-14 11:00:00,Karol Bagh
TXN0007,AXIS-XXXXXXXX3456,HDFC-XXXXXXXX7890,22000,IMPS Transfer,2026-06-15 16:00:00,Connaught Place
TXN0008,HDFC-XXXXXXXX1234,HDFC-XXXXXXXX7890,5000,UPI Transfer,2026-06-16 09:00:00,Karol Bagh
TXN0009,AXIS-XXXXXXXX3456,HDFC-XXXXXXXX7890,30000,NEFT Transfer,2026-06-16 15:00:00,Connaught Place
TXN0010,SBI-XXXXXXXX9012,AXIS-XXXXXXXX3456,15000,UPI Transfer,2026-06-16 15:00:00,Connaught Place
TXN0011,Unknown-Depositor-1,ICICI-XXXXXXXX5678,180000,Cash Deposit,2026-06-16 17:00:00,Andheri East
TXN0012,ICICI-XXXXXXXX5678,HDFC-XXXXXXXX1234,150000,IMPS Transfer,2026-06-17 10:00:00,Karol Bagh
TXN0013,SBI-XXXXXXXX9012,AXIS-XXXXXXXX3456,5000,NEFT Transfer,2026-06-19 12:00:00,Andheri East
TXN0014,ICICI-XXXXXXXX5678,HDFC-XXXXXXXX1234,12000,IMPS Transfer,2026-06-20 12:00:00,Connaught Place
TXN0015,AXIS-XXXXXXXX3456,P006,25000,UPI Transfer,2026-06-22 18:00:00,Bandra West
TXN0016,AXIS-XXXXXXXX3456,HDFC-XXXXXXXX1234,5000,NEFT Transfer,2026-06-23 11:00:00,Connaught Place
TXN0017,SBI-XXXXXXXX9012,HDFC-XXXXXXXX7890,15000,IMPS Transfer,2026-06-23 13:00:00,Bandra West
TXN0018,ICICI-XXXXXXXX5678,HDFC-XXXXXXXX7890,30000,NEFT Transfer,2026-06-24 09:00:00,Karol Bagh
TXN0019,SBI-XXXXXXXX9012,AXIS-XXXXXXXX3456,30000,UPI Transfer,2026-06-24 11:00:00,Bandra West
TXN0020,Unknown-Depositor-3,ICICI-XXXXXXXX5678,95000,Cash Deposit,2026-06-25 09:00:00,Bandra West
TXN0021,HDFC-XXXXXXXX7890,HDFC-XXXXXXXX1234,22000,IMPS Transfer,2026-06-25 09:00:00,Andheri East
TXN0022,AXIS-XXXXXXXX3456,ICICI-XXXXXXXX5678,12000,IMPS Transfer,2026-06-25 09:00:00,Connaught Place
TXN0023,ICICI-XXXXXXXX5678,SBI-XXXXXXXX9012,80000,IMPS Transfer,2026-06-26 12:00:00,Connaught Place
TXN0024,SBI-XXXXXXXX9012,ICICI-XXXXXXXX5678,30000,IMPS Transfer,2026-06-26 16:00:00,Karol Bagh
TXN0025,SBI-XXXXXXXX9012,AXIS-XXXXXXXX3456,15000,NEFT Transfer,2026-06-27 18:00:00,Karol Bagh
TXN0026,Unknown-Depositor-2,SBI-XXXXXXXX9012,200000,Cash Deposit,2026-07-01 13:00:00,Karol Bagh
TXN0027,HDFC-XXXXXXXX1234,AXIS-XXXXXXXX3456,8000,IMPS Transfer,2026-07-01 17:00:00,Andheri East
TXN0028,SBI-XXXXXXXX9012,AXIS-XXXXXXXX3456,120000,NEFT Transfer,2026-07-02 12:00:00,Karol Bagh
TXN0029,PNB-XXXXXXXX2233,HDFC-XXXXXXXX1234,75000,NEFT Transfer,2026-07-02 10:00:00,Mohammed Ali Road
TXN0030,PNB-XXXXXXXX2233,ICICI-XXXXXXXX5678,55000,IMPS Transfer,2026-07-02 11:30:00,Mohammed Ali Road
TXN0031,CANARA-XXXXXXXX8899,PNB-XXXXXXXX2233,300000,NEFT Transfer,2026-07-02 14:00:00,Attari Border Post
TXN0032,CANARA-XXXXXXXX8899,HDFC-XXXXXXXX1234,150000,NEFT Transfer,2026-07-03 09:00:00,Attari Border Post
TXN0033,KOTAK-XXXXXXXX4455,SBI-XXXXXXXX9012,90000,IMPS Transfer,2026-07-03 10:30:00,Salt Lake
TXN0034,KOTAK-XXXXXXXX4455,BOB-XXXXXXXX6677,45000,NEFT Transfer,2026-07-03 12:00:00,Salt Lake
TXN0035,BOB-XXXXXXXX6677,ICICI-XXXXXXXX5678,35000,UPI Transfer,2026-07-03 14:00:00,Park Street
TXN0036,BOB-XXXXXXXX6677,HDFC-XXXXXXXX1234,28000,IMPS Transfer,2026-07-03 16:00:00,Park Street
TXN0037,PNB-XXXXXXXX2233,SBI-XXXXXXXX9012,65000,NEFT Transfer,2026-07-04 09:00:00,Mohammed Ali Road
TXN0038,AXIS-XXXXXXXX0099,PNB-XXXXXXXX2233,120000,NEFT Transfer,2026-07-04 11:00:00,Andheri East
TXN0039,HDFC-XXXXXXXX1234,AXIS-XXXXXXXX0099,85000,IMPS Transfer,2026-07-04 13:00:00,Karol Bagh
TXN0040,Unknown-Depositor-4,AXIS-XXXXXXXX0099,500000,Cash Deposit,2026-07-04 15:00:00,Andheri East
TXN0041,CANARA-XXXXXXXX8899,ICICI-XXXXXXXX5678,200000,NEFT Transfer,2026-07-05 09:00:00,Attari Border Post
TXN0042,AXIS-XXXXXXXX0099,SBI-XXXXXXXX9012,95000,NEFT Transfer,2026-07-05 11:00:00,Andheri East
TXN0043,KOTAK-XXXXXXXX4455,CANARA-XXXXXXXX8899,180000,IMPS Transfer,2026-07-05 13:00:00,Salt Lake
TXN0044,KOTAK-XXXXXXXX4455,PNB-XXXXXXXX2233,130000,NEFT Transfer,2026-07-05 15:00:00,Salt Lake
TXN0045,PNB-XXXXXXXX2233,HDFC-XXXXXXXX7890,60000,UPI Transfer,2026-07-06 09:00:00,Mohammed Ali Road
TXN0046,BOB-XXXXXXXX6677,SBI-XXXXXXXX9012,40000,UPI Transfer,2026-07-06 11:00:00,Park Street
TXN0047,AXIS-XXXXXXXX0099,ICICI-XXXXXXXX5678,220000,IMPS Transfer,2026-07-06 13:00:00,Bandra
TXN0048,Unknown-Depositor-5,PNB-XXXXXXXX2233,350000,Cash Deposit,2026-07-07 10:00:00,Mohammed Ali Road
TXN0049,CANARA-XXXXXXXX8899,SBI-XXXXXXXX9012,175000,NEFT Transfer,2026-07-07 12:00:00,Attari Border Post
TXN0050,HDFC-XXXXXXXX1234,CANARA-XXXXXXXX8899,95000,IMPS Transfer,2026-07-07 14:00:00,Karol Bagh
